STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
GR.GRB1	11.651	49.390	12.833
CH.MMK	7.964	46.051	9.838
HC.KNDR	23.625	35.235	802.512
RO.PLOR4	26.650	45.851	53.002
NL.G543	6.758	53.124	2521.364
NO.ARC6	25.488	69.534	12.004
GR.LNIZ	14.210	53.493	598.074
HT.LIT	22.489	40.103	151.860
KO.CHBY	32.890	38.582	1011.128
BW.BGDS	13.027	47.635	7.850
KO.LMOS	32.696	36.602	394.431
Z6.BRY	18.539	42.901	64.123
NL.HWF1	6.351	53.071	6132.969
HC.KTHR	22.994	36.245	95.075
CH.EMING	8.847	47.895	247.557
NL.ZH022	4.488	52.074	2285.570
4P.IT03A	8.289	45.238	61.719
FR.PLYF	4.743	46.957	13.958
Y5.BH04A	17.794	43.348	155.671
AC.VLO	19.496	40.469	357.211
KO.SVSK	36.992	39.916	300.788
CQ.AKMS	32.335	35.018	73.825
BW.RTSA	12.842	47.768	91.197
GE.FLT1	11.237	52.331	14.820
SX.MUHB	12.342	51.658	822.672
NL.G654	6.954	53.169	2236.248
HP.SERG	22.057	38.413	112.917
QE.HNB3	4.964	60.608	71.758
NL.T062	6.910	52.343	2218.058
CA.CFAR	0.661	40.560	1141.695
TH.MORAS	11.225	50.536	44.042
TH.GEIDO	12.200	50.735	79.260
NL.DR031	6.308	52.898	2378.085
GE.PUL	30.317	59.767	140.173
NL.N034	6.405	53.111	2023.267
NL.L1071	7.096	52.921	2138.549
HP.PLEV	21.407	38.412	39.819
FR.OGCN	5.089	45.154	105.273
FR.GOTF	0.739	49.017	20.575
Y8.RO23A	23.727	45.866	690.205
NL.G141	6.771	53.359	2629.281
HU.MPLH	17.535	47.171	116.943
NL.G393	6.724	53.225	2440.041
IV.ESLN	14.974	37.693	507.556
HE.NIF	27.810	63.390	15.889
NL.G164	6.531	53.339	2329.977
8C.CI18	6.770	45.900	950.820
Z6.A031A	13.498	48.427	35.202
FR.MLYF	5.768	43.988	24.874
Z6.HU22A	19.131	46.328	379.543
NL.G671	6.823	53.321	2492.740
NO.JMIC	-8.506	70.987	23.560
CH.SLE	8.492	47.764	20.567
NL.N011	6.473	53.119	2253.514
Y8.PL17A	20.301	49.601	121.050
KO.SHUT	30.551	38.553	63.425
NL.SPY1	6.784	53.410	6424.899
NL.G422	6.989	53.222	2180.637
NL.G581	6.907	53.110	2635.741
RD.ORIF	5.880	44.918	10.161
NL.L2087	6.919	52.669	7004.569
NL.G294	6.787	53.281	2381.261
FR.MIGAL	6.033	43.080	16.705
CQ.OSC1	31.277	33.500	20047.015
NL.G063	6.871	53.411	2603.197
XP.FR01A	4.072	46.956	49.868
FR.OGJA	6.710	44.910	36.627
NL.FR052	5.869	53.070	2225.914
NL.G632	6.911	53.331	2367.695
Z6.A035B	12.642	47.160	13.542
KO.RKY	27.178	40.687	750.377
HT.CHOS	26.051	38.387	84.326
IV.MRVN	16.196	41.061	16.282
IV.VCNE	14.434	40.827	187.075
CH.GRYON	7.111	46.251	20.123
HL.JAN	20.849	39.656	83.646
FR.WALT	7.277	47.966	17.021
OE.LESA	12.677	47.424	229.326
NO.ARA3	25.502	69.535	636.353
BW.MSBB	11.973	50.031	21.070
GX.CAMPI	15.274	40.707	348.059
FR.BARI	3.312	49.566	31.599
NL.G273	6.628	53.283	2928.205
FO.OPS	7.883	48.921	856.271
NL.G82B	6.724	53.225	34.902
NS.MOR8	14.731	66.283	39.080
HL.NEO	23.222	39.306	546.425
NL.G084	6.644	53.395	2273.089
NL.WYN2	5.458	53.200	1091.271
FR.OGDF	5.069	44.557	16.386
IV.EMFS	14.998	37.720	945.282
HL.SMG	26.838	37.704	116.957
IV.PIGN	14.180	41.200	25.153
NL.G374	7.035	53.274	2480.427
RO.ONER	26.394	46.335	6.687
IV.CRE	11.952	43.619	33.209
NL.FR011	5.887	53.142	2428.561
IV.CMIS	14.089	40.778	259.950
RO.PRAR	26.228	47.362	4437.998
KO.ELL	29.909	36.748	1351.009
NL.G183	6.722	53.331	2141.446
PM.PFVI	-8.827	37.133	43.784
FR.ARTF	5.807	43.588	12.065
CA.ICJA	2.119	41.384	296.935
IV.SORR	14.336	40.583	153.416
CH.SALEV	6.097	46.060	447.398
Y8.PL09A	21.405	49.642	1017.249
NL.ZH044	4.363	51.842	2361.067
NL.GK013	6.247	53.291	2495.532
NL.G461	6.850	53.198	2670.513
IV.GUMA	13.335	43.063	71.827
GR.CLZ	10.374	51.843	12.219
RO.ODSR	25.292	46.297	12770.564
RO.MDVR	21.713	44.782	538.099
IV.SNAL	15.209	40.925	43.617
NL.N033	6.405	53.111	2137.867
CH.COLLE	6.121	46.292	72.005
IX.AND3	15.333	40.930	212.063
QE.HNB4	4.951	60.607	53.635
NL.G653	6.954	53.169	2309.262
XE.MORMA	15.972	39.870	42.768
Y5.BH14A	17.657	44.514	54.725
IV.MBFT	12.953	37.946	14.402
Z6.AL04A	19.562	41.007	19037.662
GR.KUDEN	9.196	53.969	74.253
IV.EPIT	15.057	37.811	471.510
IV.CRJA	13.004	37.802	596.346
FR.ESCA	7.374	43.831	157.844
NL.ROLD	6.085	50.869	335.637
KO.GEML	29.212	40.465	177.979
NL.G212	6.594	53.313	2407.878
IV.CAAM	14.142	40.820	885.824
GU.STV	7.326	44.245	8.613
NL.L1076	7.095	52.920	2001.136
Y8.RO33A	26.659	47.278	465.093
IV.PTCC	13.354	46.407	322.510
CH.EMBD	7.832	46.217	44.875
NL.G041	6.675	53.415	2667.563
KO.GEDZ	29.410	39.044	9809.616
IV.ISPIC	14.903	36.780	200.092
KO.KULA	28.661	38.514	256.478
NI.PURA	12.742	46.426	82.461
HA.HAVD	20.385	38.204	3332.828
NL.SL011	4.868	52.855	2268.297
NI.VINO	13.275	46.254	23.158
SX.WERN	12.376	50.287	1176.658
FR.CIEL	7.364	48.833	208.074
FR.PAND	1.546	42.524	44.180
CA.CGAR	1.914	41.293	12.521
HU.BEHE	16.776	46.471	2208.969
FR.OG35	5.571	46.045	20.092
NL.L4111	6.630	53.031	40906.368
NL.G251	6.943	53.308	2295.892
GR.KHUS	11.055	54.196	79.521
Y8.RO12A	25.600	44.583	527.144
FR.CRAS	0.729	43.721	32.246
IV.MOMA	12.570	42.804	26.361
GB.JSA	-2.172	49.188	14.940
NL.G544	6.758	53.124	2426.093
NO.ARC1	25.508	69.541	15.495
IV.SARZ	8.914	44.867	876.354
1Y.GR22	22.826	39.089	378.078
RO.ODBI	27.056	45.763	992.611
SX.NEUB	11.772	51.194	131.355
OE.RETA	10.762	47.487	66.446
IV.CESX	12.587	42.608	10.730
NL.G443	6.684	53.204	2304.226
IV.VARE	8.770	45.868	139.329
FR.ISO	7.050	44.184	8.966
KO.LFK	33.533	35.283	77.764
NL.T082	6.996	52.389	2449.308
NL.GK031	6.306	53.283	2136.114
EI.IDGL	-7.510	55.073	43.014
GE.RUE	13.780	52.476	13.334
OE.MOTA	11.104	47.345	22.225
NL.FR033	5.713	52.981	2412.639
GB.FOEL	-3.200	52.889	131.274
Z6.CP14A	20.467	48.636	727.688
KO.GULA	34.236	38.344	1522.658
IV.CMSN	14.182	40.838	244.615
NL.G344	6.765	53.253	2276.415
IX.SSB3	15.229	41.078	192.547
NL.HGN	5.932	50.764	11.744
NL.FR021	5.930	52.856	2316.863
EE.VSU	26.735	58.462	90.766
IV.NARO	12.581	43.611	265.272
NL.GK023	6.293	53.301	1499.694
NL.ZH074	4.295	52.104	2200.566
IX.PGN3	15.797	40.572	211.670
IV.ATPC	12.457	43.481	111.917
EE.MTSE	23.815	58.714	1044.696
NL.G451	6.764	53.200	2445.283
NL.PPB4	4.670	52.653	5913.860
KO.CANT	33.619	40.606	588.146
IV.SACS	11.910	42.849	28.176
HT.EVGI	20.656	38.621	1466.967
1Y.GR30	22.577	37.522	288.724
FR.GIZF	0.198	47.408	16.070
FR.ZELS	7.632	48.302	25.256
GR.GRC4	11.525	49.086	16.319
FR.RIVEL	5.922	46.759	15.258
NL.G602	7.075	53.298	2370.252
NL.T034	6.792	52.430	2371.478
NO.ARB3	25.511	69.532	13.922
RO.AMRR	27.335	44.610	3512.719
NL.VBG1	6.669	52.544	6571.025
NL.G81B	6.678	53.310	43.588
RO.ICOR	27.801	44.117	632.324
NL.G243	6.856	53.290	2333.801
NL.OPLO	5.812	51.589	134.104
RD.MFF	-0.141	46.601	29.154
NS.NSS	11.966	64.530	826.601
RD.FLAF	6.255	43.383	12.255
Y8.PL14A	21.070	49.879	135.486
Z6.HU04B	19.439	46.814	143.664
DK.GOET	9.225	57.035	315.375
NL.G412	6.892	53.223	2398.263
GE.ILTH	-6.336	54.028	35.426
MD.SORM	28.351	48.135	160.489
GB.KESW	-3.105	54.589	26.703
HE.MEF	24.396	60.217	39.792
NL.FR062	6.024	53.001	2294.909
XP.FR02A	3.498	46.910	109.692
HU.MORH	18.644	46.215	19.798
KO.CTKS	28.507	41.237	780.638
NL.G053	6.771	53.418	2099.882
BQ.KOE	7.731	50.424	639.775
BW.MROB	12.179	50.083	37.690
NL.ENV4	6.634	52.894	6157.509
FR.CLAF	3.090	43.135	15.839
NL.HRKB	6.168	51.188	113.715
GU.BHB	7.263	44.836	22.774
IV.EMSG	14.950	37.821	113.972
NL.G641	7.038	53.221	2417.516
Z6.HU21A	19.729	46.333	1447.344
RO.MFTR	28.422	44.178	606.822
Z6.A028B	13.950	47.095	475.865
Z6.A032A	13.306	48.123	478.857
7C.SPAOL	15.071	37.549	669.502
NL.DR024	6.508	52.703	2309.151
NL.N021	6.453	53.072	2670.929
NL.G473	6.941	53.196	2374.297
HL.ITM	21.925	37.179	62.087
SL.KNDS	14.381	45.528	18.214
NL.G684	6.635	53.235	2324.270
IV.CAVE	11.003	44.866	848.548
NL.G032	6.598	53.416	2291.895
KO.AFSR	33.071	39.447	1740.216
NL.G191	6.817	53.338	2220.011
Z6.A367A	11.923	48.307	218.838
Y8.BG12A	26.780	42.118	2813.884
FR.XAFF	6.620	48.407	11.930
Z6.CP17A	20.511	48.219	246.099
RO.IASR	27.575	47.178	1837.859
HT.CMBO	25.406	36.471	275.142
HA.VILL	23.312	38.164	464.904
NL.L2072	6.972	52.757	2450.494
NL.G261	6.546	53.282	2693.061
BW.MKON	12.234	50.019	22.435
FR.SRNF	2.204	47.381	23.420
FR.VALC	2.040	42.388	57.561
NL.G574	7.022	53.135	2965.864
EB.EROQ	0.407	40.822	116.073
IV.MAGA	10.629	45.775	105.623
GB.DYA	-3.931	50.435	20.386
NL.VLW2	7.097	52.968	4148.342
Y5.BH09A	16.616	44.786	2941.356
TH.TIER	11.167	50.455	53.574
1Y.GR12	22.542	40.471	234.815
HC.CHAN	24.043	35.519	502.098
IX.COL3	15.330	40.687	479.180
NL.G071	6.546	53.395	6704.073
BW.ZUGS	10.977	47.417	216.745
IV.APRC	15.543	41.757	46.980
NL.NIW1	6.043	53.355	6495.234
KO.KONT	32.356	37.957	632.972
BW.MGS05	11.517	48.000	24.304
Z6.CP09A	20.282	49.164	201.737
OX.BOO	13.098	46.319	37.317
CL.ZIRI	21.948	38.305	337.614
UP.SJUU	21.605	65.508	21.751
TH.VITZ	10.092	50.888	83.238
NS.LADE	10.446	63.455	35.312
DK.COP	12.432	55.685	68.251
NL.G593	6.988	53.116	2440.736
BW.WETR	12.876	49.145	1.498
HT.HORT	23.100	40.598	22.345
NL.GK042	6.326	53.246	2356.052
RD.MTLF	2.217	43.341	85.139
RO.BANR	21.137	45.383	5081.989
NO.ARD2	25.531	69.545	19.303
NL.G494	6.731	53.176	2716.115
HP.LTK	22.967	38.023	151.240
Z6.AL07A	20.679	40.900	250.122
BW.KW1	12.597	48.122	74.183
CH.JAUN	7.291	46.634	12.789
Y5.BH17A	18.551	44.384	4256.094
NL.G663	6.585	53.179	2437.130
FR.MANO	5.923	48.828	18.762
FR.AGO	3.132	46.050	13.304
NS.STAV	5.704	58.934	233.179
SL.GBRS	14.810	45.531	20.310
Z6.A143A	11.003	47.684	23.018
RO.RMGR	22.692	44.663	611.183
FR.OGAG	6.540	44.788	11.937
TH.CHRS	10.819	51.610	64.624
NS.LEIR	13.115	66.112	9.638
RO.JOSR	25.515	46.706	2337.681
NL.G381	6.548	53.201	2626.160
NL.G222	6.678	53.310	2326.792
IV.OFFI	13.686	42.935	88.893
IV.ESML	14.879	37.618	38.006
NL.ENM2	6.482	53.406	6213.490
FR.OGCB	5.097	44.850	27.333
XP.FR12A	1.243	45.745	430.027
KO.TOKT	36.544	40.317	18.902
KO.KMRS	36.900	37.509	547.446
FR.PYHE	-1.750	43.377	143.290
SL.CADS	13.737	46.228	5.061
NL.ENV3	6.634	52.894	5920.020
KO.GELI	26.474	40.398	2544.051
KO.BLVD	31.095	38.795	414.953
BW.UH3	11.639	48.030	75.287
GE.GHAJ	35.566	31.303	65.021
NL.G512	6.885	53.173	2542.924
GE.APE	25.523	37.073	152.477
NL.DR023	6.508	52.703	2382.907
HL.VLY	23.794	37.852	25.747
FR.MLZA	-0.127	43.828	63.397
SL.VOJS	13.888	46.032	20.977
XE.CNESE	16.084	39.894	114.595
NO.NB201	11.294	61.050	37.841
HL.SAP3	25.345	36.436	1684.915
RO.MLR	25.945	45.491	15.368
CH.MUTEZ	7.649	47.506	51.455
BQ.BGG	7.336	50.205	18.185
KO.UVEZ	30.903	40.904	562.702
HA.ATAL	23.021	38.693	856.273
NL.G054	6.771	53.418	2150.788
