STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
BE.OPTB	5.636	51.111	120.269
Z6.ME01A	19.881	42.846	587.008
HL.RDO	25.536	41.145	11.824
RO.HARR	27.930	44.689	104.146
IV.MTTG	15.700	38.003	41.231
Y8.RO02A	25.308	46.946	135.351
FR.BORF	-0.203	42.945	25.461
TH.ABG1	12.576	50.968	46.768
RO.GIRR	26.501	46.955	352.206
NL.FR034	5.713	52.981	272.223
NO.NBO03	10.837	61.013	5.464
IV.SEI	11.359	44.054	70.420
CH.WGT	8.925	47.098	13.444
Y8.BG01A	27.193	43.689	176.301
EI.ILTH	-6.336	54.028	15.822
IV.EMNR	15.026	37.817	458.522
NL.L4116	6.631	53.032	8068.799
IV.CBAC	14.081	40.811	607.261
NL.G102	6.804	53.378	548.302
NL.T021	6.979	52.463	795.870
SL.KOGS	16.250	46.448	48.760
GR.GRB1	11.651	49.390	48.104
CH.MMK	7.964	46.051	9.227
HC.KNDR	23.625	35.235	124.991
RO.PLOR4	26.650	45.851	11.459
NL.G543	6.758	53.124	350.931
NO.ARC6	25.488	69.534	7.271
GR.LNIZ	14.210	53.493	193.955
HT.LIT	22.489	40.103	15.372
KO.CHBY	32.890	38.582	42.181
BW.BGDS	13.027	47.635	15.255
KO.LMOS	32.696	36.602	6.007
Z6.BRY	18.539	42.901	24.447
NL.HWF1	6.351	53.071	570.151
HC.KTHR	22.994	36.245	47.733
CH.EMING	8.847	47.895	21.116
NL.ZH022	4.488	52.074	524.305
4P.IT03A	8.289	45.238	316.676
FR.PLYF	4.743	46.957	32.386
Y5.BH04A	17.794	43.348	110.640
AC.VLO	19.496	40.469	364.594
KO.SVSK	36.992	39.916	28.886
CQ.AKMS	32.335	35.018	38.551
BW.RTSA	12.842	47.768	15.626
GE.FLT1	11.237	52.331	25.442
SX.MUHB	12.342	51.658	21.240
NL.G654	6.954	53.169	104.265
HP.SERG	22.057	38.413	25.177
QE.HNB3	4.964	60.608	11.370
NL.T062	6.910	52.343	114.747
CA.CFAR	0.661	40.560	2158.593
TH.MORAS	11.225	50.536	8.285
TH.GEIDO	12.200	50.735	33.624
NL.DR031	6.308	52.898	507.820
GE.PUL	30.317	59.767	2507.443
NL.N034	6.405	53.111	164.351
NL.L1071	7.096	52.921	593.757
HP.PLEV	21.407	38.412	15.452
FR.OGCN	5.089	45.154	69.292
FR.GOTF	0.739	49.017	77.989
Y8.RO23A	23.727	45.866	631.613
NL.G141	6.771	53.359	704.571
HU.MPLH	17.535	47.171	30.095
NL.G393	6.724	53.225	224.583
IV.ESLN	14.974	37.693	890.514
HE.NIF	27.810	63.390	13.925
NL.G164	6.531	53.339	278.432
8C.CI18	6.770	45.900	28.002
Z6.A031A	13.498	48.427	30.444
FR.MLYF	5.768	43.988	21.607
Z6.HU22A	19.131	46.328	433.388
NL.G671	6.823	53.321	552.335
NO.JMIC	-8.506	70.987	26.067
CH.SLE	8.492	47.764	13.983
NL.N011	6.473	53.119	660.871
Y8.PL17A	20.301	49.601	31.661
KO.SHUT	30.551	38.553	67.244
NL.SPY1	6.784	53.410	58.576
NL.G422	6.989	53.222	276.661
NL.G581	6.907	53.110	2202.004
RD.ORIF	5.880	44.918	6.931
NL.L2087	6.919	52.669	247.002
NL.G294	6.787	53.281	188.172
FR.MIGAL	6.033	43.080	36.104
CQ.OSC1	31.277	33.500	14.740
NO.NC403	11.668	61.054	6.453
NL.G063	6.871	53.411	910.465
XP.FR01A	4.072	46.956	12.685
FR.OGJA	6.710	44.910	13.105
NL.FR052	5.869	53.070	368.631
NL.G632	6.911	53.331	487.028
Z6.A035B	12.642	47.160	16.870
KO.RKY	27.178	40.687	37.247
HT.CHOS	26.051	38.387	15.321
IV.MRVN	16.196	41.061	16.726
IV.VCNE	14.434	40.827	390.882
CH.GRYON	7.111	46.251	7.809
HL.JAN	20.849	39.656	62.581
FR.WALT	7.277	47.966	35.643
OE.LESA	12.677	47.424	9.844
NO.ARA3	25.502	69.535	7.009
BW.MSBB	11.973	50.031	75.409
GX.CAMPI	15.274	40.707	86.753
FR.BARI	3.312	49.566	195.421
NL.G273	6.628	53.283	236.988
FO.OPS	7.883	48.921	533.691
NL.G82B	6.724	53.225	291.302
NS.MOR8	14.731	66.283	9.422
HL.NEO	23.222	39.306	51.922
NL.G084	6.644	53.395	230.854
NL.WYN2	5.458	53.200	295.544
FR.OGDF	5.069	44.557	8.488
IV.EMFS	14.998	37.720	1749.704
HL.SMG	26.838	37.704	22.919
IV.PIGN	14.180	41.200	40.572
NL.G374	7.035	53.274	214.668
RO.ONER	26.394	46.335	301.993
IV.CRE	11.952	43.619	10.693
NL.FR011	5.887	53.142	509.798
IV.CMIS	14.089	40.778	950.995
RO.PRAR	26.228	47.362	200.971
KO.ELL	29.909	36.748	45.059
NL.G183	6.722	53.331	203.241
PM.PFVI	-8.827	37.133	34.667
FR.ARTF	5.807	43.588	15.129
CA.ICJA	2.119	41.384	1038.536
IV.SORR	14.336	40.583	31.499
CH.SALEV	6.097	46.060	17.416
Y8.PL09A	21.405	49.642	111.468
NL.ZH044	4.363	51.842	468.664
NL.GK013	6.247	53.291	164.636
NL.G461	6.850	53.198	794.507
IV.GUMA	13.335	43.063	89.881
GR.CLZ	10.374	51.843	11.655
RO.ODSR	25.292	46.297	366.314
RO.MDVR	21.713	44.782	6.254
IV.SNAL	15.209	40.925	32.819
NL.N033	6.405	53.111	206.676
CH.COLLE	6.121	46.292	44.238
IX.AND3	15.333	40.930	289.121
QE.HNB4	4.951	60.607	13.281
NL.G653	6.954	53.169	108.491
XE.MORMA	15.972	39.870	22.836
Y5.BH14A	17.657	44.514	17.382
IV.MBFT	12.953	37.946	27.768
Z6.AL04A	19.562	41.007	430.836
GR.KUDEN	9.196	53.969	853.919
IV.EPIT	15.057	37.811	291.853
IV.CRJA	13.004	37.802	39.941
FR.ESCA	7.374	43.831	21.986
NL.ROLD	6.085	50.869	2344.610
KO.GEML	29.212	40.465	89.023
NL.G212	6.594	53.313	450.588
IV.CAAM	14.142	40.820	550.120
GU.STV	7.326	44.245	6.424
NL.L1076	7.095	52.920	481.275
Y8.RO33A	26.659	47.278	193.647
IV.PTCC	13.354	46.407	8.063
CH.EMBD	7.832	46.217	15.257
NL.G041	6.675	53.415	940.859
KO.GEDZ	29.410	39.044	292.691
IV.ISPIC	14.903	36.780	160.829
KO.KULA	28.661	38.514	21.583
NI.PURA	12.742	46.426	4.971
HA.HAVD	20.385	38.204	117.101
NL.SL011	4.868	52.855	569.364
NI.VINO	13.275	46.254	8.367
SX.WERN	12.376	50.287	8.130
FR.CIEL	7.364	48.833	41.388
FR.PAND	1.546	42.524	20.130
CA.CGAR	1.914	41.293	38.766
RO.PLOR	26.650	45.851	11.459
HU.BEHE	16.776	46.471	119.655
FR.OG35	5.571	46.045	14.593
NL.L4111	6.630	53.031	377.512
NL.G251	6.943	53.308	3329.484
GR.KHUS	11.055	54.196	232.275
Y8.RO12A	25.600	44.583	628.888
FR.CRAS	0.729	43.721	75.853
IV.MOMA	12.570	42.804	11.047
GB.JSA	-2.172	49.188	25.389
NL.G544	6.758	53.124	249.665
NO.ARC1	25.508	69.541	17.461
IV.SARZ	8.914	44.867	252.531
1Y.GR22	22.826	39.089	19.347
RO.ODBI	27.056	45.763	461.796
SX.NEUB	11.772	51.194	59.203
OE.RETA	10.762	47.487	16.720
IV.CESX	12.587	42.608	27.144
NL.G443	6.684	53.204	343.383
IV.VARE	8.770	45.868	36.195
FR.ISO	7.050	44.184	4.219
KO.LFK	33.533	35.283	58.479
NL.T082	6.996	52.389	142.549
NL.GK031	6.306	53.283	482.079
EI.IDGL	-7.510	55.073	15.444
GE.RUE	13.780	52.476	183.732
OE.MOTA	11.104	47.345	10.338
NO.NBO04	10.752	61.012	5.598
NL.FR033	5.713	52.981	349.501
GB.FOEL	-3.200	52.889	24.737
Z6.CP14A	20.467	48.636	14.364
KO.GULA	34.236	38.344	49.809
IV.CMSN	14.182	40.838	1310.924
NL.G344	6.765	53.253	177.174
IX.SSB3	15.229	41.078	171.058
NL.HGN	5.932	50.764	15.629
NL.FR021	5.930	52.856	882.903
EE.VSU	26.735	58.462	56.672
IV.NARO	12.581	43.611	10.481
NL.GK023	6.293	53.301	176.315
NL.ZH074	4.295	52.104	868.115
IX.PGN3	15.797	40.572	24.695
IV.ATPC	12.457	43.481	13.365
EE.MTSE	23.815	58.714	80.530
NL.G451	6.764	53.200	696.040
NL.PPB4	4.670	52.653	252.490
KO.CANT	33.619	40.606	117.152
IV.SACS	11.910	42.849	26.212
HT.EVGI	20.656	38.621	41.728
1Y.GR30	22.577	37.522	11.299
FR.GIZF	0.198	47.408	136.256
FR.ZELS	7.632	48.302	89.947
GR.GRC4	11.525	49.086	40.755
FR.RIVEL	5.922	46.759	25.946
NL.G602	7.075	53.298	292.183
NL.T034	6.792	52.430	154.464
NO.ARB3	25.511	69.532	6.371
RO.AMRR	27.335	44.610	775.932
NL.VBG1	6.669	52.544	892.969
NL.G81B	6.678	53.310	338.455
RO.ICOR	27.801	44.117	451.842
NL.G243	6.856	53.290	306.140
NL.OPLO	5.812	51.589	591.296
RD.MFF	-0.141	46.601	9.195
NS.NSS	11.966	64.530	10.680
RD.FLAF	6.255	43.383	22.280
Y8.PL14A	21.070	49.879	58.706
Z6.HU04B	19.439	46.814	281.608
DK.GOET	9.225	57.035	558.843
NL.G412	6.892	53.223	288.524
GE.ILTH	-6.336	54.028	15.822
MD.SORM	28.351	48.135	23.184
GB.KESW	-3.105	54.589	22.150
HE.MEF	24.396	60.217	17.600
NL.FR062	6.024	53.001	432.001
XP.FR02A	3.498	46.910	53.804
HU.MORH	18.644	46.215	10.647
KO.CTKS	28.507	41.237	6.934
NL.G053	6.771	53.418	686.546
BQ.KOE	7.731	50.424	22.054
BW.MROB	12.179	50.083	214.992
NL.ENV4	6.634	52.894	185.097
FR.CLAF	3.090	43.135	26.563
NL.HRKB	6.168	51.188	1353.840
GU.BHB	7.263	44.836	23.307
IV.EMSG	14.950	37.821	457.313
NL.G641	7.038	53.221	538.700
Z6.HU21A	19.729	46.333	289.638
RO.MFTR	28.422	44.178	427.101
Z6.A028B	13.950	47.095	12.705
Z6.A032A	13.306	48.123	100.484
7C.SPAOL	15.071	37.549	2861.590
NL.DR024	6.508	52.703	389.313
NL.N021	6.453	53.072	701.965
NL.G473	6.941	53.196	259.319
HL.ITM	21.925	37.179	13.404
SL.KNDS	14.381	45.528	7.989
NL.G684	6.635	53.235	346.448
IV.CAVE	11.003	44.866	1606.444
NL.G032	6.598	53.416	407.701
KO.AFSR	33.071	39.447	61.857
NL.G191	6.817	53.338	357.798
Z6.A367A	11.923	48.307	964.507
Y8.BG12A	26.780	42.118	27.533
FR.XAFF	6.620	48.407	29.672
Z6.CP17A	20.511	48.219	61.222
RO.IASR	27.575	47.178	616.349
HT.CMBO	25.406	36.471	1319.504
HA.VILL	23.312	38.164	20.613
NL.L2072	6.972	52.757	674.086
NL.G261	6.546	53.282	763.096
NO.NC601	11.542	60.775	5.304
BW.MKON	12.234	50.019	14.222
FR.SRNF	2.204	47.381	42.516
FR.VALC	2.040	42.388	8.998
NL.G574	7.022	53.135	231.972
EB.EROQ	0.407	40.822	35.681
IV.MAGA	10.629	45.775	19.327
GB.DYA	-3.931	50.435	18.633
NL.VLW2	7.097	52.968	213.917
Y5.BH09A	16.616	44.786	166.123
TH.TIER	11.167	50.455	8.828
1Y.GR12	22.542	40.471	521.612
HC.CHAN	24.043	35.519	347.834
IX.COL3	15.330	40.687	23.060
NL.G071	6.546	53.395	574.915
BW.ZUGS	10.977	47.417	14.489
IV.APRC	15.543	41.757	53.070
NL.NIW1	6.043	53.355	597.241
NO.NAO00	10.832	60.824	5.780
KO.KONT	32.356	37.957	24.903
BW.MGS05	11.517	48.000	87.514
Z6.CP09A	20.282	49.164	76.087
OX.BOO	13.098	46.319	43.504
CL.ZIRI	21.948	38.305	55.445
UP.SJUU	21.605	65.508	6.354
TH.VITZ	10.092	50.888	30.547
NS.LADE	10.446	63.455	38.481
DK.COP	12.432	55.685	304.061
NL.G593	6.988	53.116	348.792
BW.WETR	12.876	49.145	9.063
HT.HORT	23.100	40.598	16.925
NL.GK042	6.326	53.246	389.734
NO.NC304	11.221	60.888	4.382
RD.MTLF	2.217	43.341	9.269
RO.BANR	21.137	45.383	3766.726
NO.ARD2	25.531	69.545	6.973
NL.G494	6.731	53.176	337.431
HP.LTK	22.967	38.023	25.184
Z6.AL07A	20.679	40.900	1370.564
BW.KW1	12.597	48.122	323.320
CH.JAUN	7.291	46.634	6.298
Y5.BH17A	18.551	44.384	134.053
NO.NC203	10.832	61.244	4.847
NL.G663	6.585	53.179	486.631
FR.MANO	5.923	48.828	46.174
FR.AGO	3.132	46.050	11.705
NS.STAV	5.704	58.934	35.073
SL.GBRS	14.810	45.531	5.092
Z6.A143A	11.003	47.684	19.318
RO.RMGR	22.692	44.663	2639.995
FR.OGAG	6.540	44.788	19.363
TH.CHRS	10.819	51.610	8.790
NS.LEIR	13.115	66.112	8.341
RO.JOSR	25.515	46.706	425.890
NL.G381	6.548	53.201	3046.826
NL.G222	6.678	53.310	332.302
IV.OFFI	13.686	42.935	137.377
IV.ESML	14.879	37.618	263.264
NL.ENM2	6.482	53.406	206.424
FR.OGCB	5.097	44.850	10.648
XP.FR12A	1.243	45.745	15.690
KO.TOKT	36.544	40.317	45.846
KO.KMRS	36.900	37.509	47.608
FR.PYHE	-1.750	43.377	62.151
SL.CADS	13.737	46.228	4.718
NL.ENV3	6.634	52.894	237.365
KO.GELI	26.474	40.398	27.901
KO.BLVD	31.095	38.795	30.094
BW.UH3	11.639	48.030	201.489
GE.GHAJ	35.566	31.303	40.517
NL.G512	6.885	53.173	884.637
GE.APE	25.523	37.073	24.834
NL.DR023	6.508	52.703	537.754
HL.VLY	23.794	37.852	78.742
FR.MLZA	-0.127	43.828	65.949
SL.VOJS	13.888	46.032	6.640
XE.CNESE	16.084	39.894	247.785
NO.NB201	11.294	61.050	4.973
HL.SAP3	25.345	36.436	620.339
RO.MLR	25.945	45.491	9.293
CH.MUTEZ	7.649	47.506	52.764
